subject_id,relationship_category,year_in_study,record_date,to_date,any,acid_reflux,acute_colitis,bacterial_overgrowth,bloat_with_torsion,bloat_without_torsion,chronic_colitis,constipation_obstipation,diarrhea,dietary_indiscretion,food_sensitivity,gastritis_gastroenteritis,gastrointestinal_foreign_body,gastrointestinal_ulcer,hematochezia,ileus,inappetance_or_anorexia,intussusception,lymphangiectasia,malabsorptive_disorder,megaesophagus,motility_disorder,motion_sickness,nausea_retching_gagging,pancreatitis,regurgitation,toxin_ingestion,vomiting,other,other_specify
grls007MPNZZ,DOG,0,"2014-06,2014-08,2015-01,2015-03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
grls007MPNZZ,DOG,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
grls007MPNZZ,DOG,1,"2015-05,2015-08,2015-09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
grls007MPNZZ,DOG,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
grls007MPNZZ,DOG,2,"2016-06,2016-08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
grls007MPNZZ,DOG,2,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
grls007MPNZZ,DOG,3,2017-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
grls007MPNZZ,DOG,3,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
grls007MPNZZ,DOG,4,2018-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
grls007MPNZZ,DOG,4,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
grls007MPNZZ,DOG,5,2019-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
grls007MPNZZ,DOG,5,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
grls007MPNZZ,DOG,6,2020-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
grls007MPNZZ,DOG,6,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
grls007MPNZZ,DOG,7,2021-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
grls007MPNZZ,DOG,7,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
grls00NB23WW,DOG,0,2014-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
grls00NB23WW,DOG,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
grls00NB23WW,DOG,1,2015-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
grls00NB23WW,DOG,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
