subject_id,year_in_study,record_date,substance,PoisonControlLastYear,PoisonControlMoreThanTwice
grls3JBT2T99,0,2014-12,medication - cyclosporine,1,0
grls3JBT2T99,4,2019-02,medication - dasuquin,1,0
grls3JBT2T99,6,2021-02,"essential oils, soap",1,0
grls3N5D0C33,1,2015-11,medication - unspecified medication,1,0
grls3N5D0C33,3,2017-11,raisins,1,0
grls3QVAHF11,1,2013-09,rodent poison,1,0
grls3S4N0Q33,0,2014-04,wild mushroom - unspecified,1,0
grls3SN3WPJJ,0,2012-05,wild mushroom - unspecified,1,0
grls3TP3YZQQ,0,2013-03,insect poison,1,0
grls3U64NSUU,3,2016-04,"fruit pit - cherry, fruit pit - peach",1,0
grls3U64NSUU,4,2017-04,fruit pit - apricot,1,0
grls4223EFHH,3,2017-05,marijuana/thc,1,0
grls42CMLJ33,0,2013-08,daffodils,1,0
grls43D0DWTT,1,2015-12,unknown,1,0
grls43MMLM88,5,2019-04,rodent poison,1,0
grls44G5RDKK,0,2013-11,plastic,1,0
grls44G5RDKK,2,2016-01,garlic,1,0
grls47042K22,0,2013-08,grapes,1,0
grls47TW3NCC,5,2019-11,medication - calcium,1,0
grls487UKJ88,0,2013-04,black walnut,1,0
grls48JENUHH,1,2015-11,rocks,1,0
grls48JENUHH,3,2017-10,grapes,1,0
grls49TGWMEE,2,2016-04,"almonds, chocolate",1,0
grls49TGWMEE,3,2017-04,dark chocolate,1,0
grls4BOQ2H33,0,2014-04,"rocks, wood - unspecified",1,0
grls4BWUAF88,0,2013-06,caulking,1,0
grls4DCW3PVV,1,2013-09,rodent poison,1,0
grls4H7BVT22,0,2012-10,"carpet, plastic",1,1
grls4J747PUU,7,2021-09,desiccant packet,1,0
grls4JDR1IHH,0,2014-09,xylitol,1,0
grls4JDR1IHH,1,2015-10,xylitol,1,0
grls4JRZBJ00,0,2013-06,unknown,1,0
grls4JXNLFRR,0,2014-10,freeze dried liver,1,0
grls4JXNLFRR,4,2018-12,apple core,1,0
grls4LWRXNKK,2,2015-05,medication - neosporin,1,0
grls4N0D24CC,1,2014-11,chocolate,1,0
grls4NXSGXTT,0,2012-10,button,1,0
grls4NY92R33,3,2017-05,rocks,1,0
grls4OOI0C66,0,2013-12,strawberry,1,0
grls4PEHX1GG,6,2021-02,marijuana/thc,1,0
grls4V37K977,2,2015-03,desiccant packet,1,0
grls4XBHFRDD,0,2014-06,unknown,1,0
grls4YF33IMM,0,2013-07,fertilizer,1,0
grls4YWCFZZZ,6,2019-05,grapes,1,0
grls4Z3O47CC,2,2015-03,medication - beano,1,0
grls4ZXH6D33,0,2014-10,wood - soft wood,1,0
grls50POPX,0,2013-04,rodent poison,1,0
grls50POPX,1,2014-02,rodent poison,1,0
grls50POPX,2,2015-04,rodent poison,1,0
grls529WL4,1,2015-12,firework,1,0
grls52EPLTHH,0,2014-06,unknown,1,0
grls5663T6FF,1,2013-10,christmas ornament,1,0
grls59NQ2KXX,0,2014-10,medication - rimadyl,1,0
grls5E6I4WMM,0,2012-12,softball,1,0
grls5Q9DCLWW,2,2016-10,amaryllis,1,0
grls5TDRJOZZ,0,2014-07,"glass, plastic",1,0
grls5XCVFHTT,0,2013-02,rhododendron,1,0
grls605WYO22,4,2017-10,grapes,1,0
grls605WYO22,5,2018-10,rocks,1,0
grls605WYO22,6,2019-09,rocks,1,0
grls60PTJPGG,1,2014-06,battery,1,0
grls63AIN977,1,2015-05,nylon,1,0
grls65ASR7UU,1,2014-10,wild mushroom - amanita,1,0
grls65ASR7UU,2,2015-10,mold,1,0
grls66CMWWXX,3,2016-04,plastic,1,0
grls67H66GG,0,2014-06,staples,1,0
grls67WPRHYY,2,2016-11,corn cob,1,0
grls67WPRHYY,4,2018-11,corn cob,1,0
grls680CAS33,1,2014-01,bone,1,0
grls68HCCD,0,2014-02,unknown,1,0
grls68OB35EE,3,2017-03,chocolate,1,0
grls68OB35EE,4,2018-03,chocolate,1,0
grls6KIC0H88,4,2017-05,pine-sol,1,0
grls6OI4R7JJ,1,2016-04,clothing - sock,1,0
grls6QB9S2RR,0,2013-10,clothing - sock,1,0
grls6SCJ3P77,7,2022-05,rodent poison,1,0
grls6YVS6OCC,0,2015-01,"chocolate, medication - omeprazole",1,0
grls71IO1144,4,2018-01,insect poison,1,0
grls71IO1144,6,2020-02,grapes,1,0
grls738UX4DD,0,2014-08,clothing - unspecified,1,0
grls738UX4DD,3,2017-08,medication - overdose of own medication,1,0
grls7831P9BB,2,2016-02,rubber,1,0
grls7A730Z22,0,2013-01,medication - joint supplement (entire container),1,0
grls7A730Z22,1,2014-01,fertilizer,1,0
grls7DPE0X77,0,2013-04,fire starter,1,0
grls7EQ7E0EE,4,2018-03,fruit pit - cherry,1,0
grls7EYMKCMM,4,2018-06,onion,1,0
grls7KYQ7C99,0,2014-04,rocks,1,0
grls7L9I19SS,0,2013-09,rodent poison,1,0
grls7M2P3822,0,2014-08,bacon grease,1,0
grls7O56EF66,0,2014-02,medication - frontline plus flea and tick,1,0
grls7P1KEJVV,1,2016-02,unknown,1,0
grls7PXINLII,1,2015-12,fertilizer - organic,1,0
grls7QR8H733,0,2014-01,bone,1,0
grls7R3WBEEE,1,2014-02,peony,1,0
grls7XFLIQOO,0,2014-08,"insect poison, glass",1,0
grls84LL93EE,0,2014-08,bread dough,1,0
grls8B25S277,0,2014-09,medication - rimadyl,1,0
grls8G77B1CC,4,2019-01,raisins,1,0
grls8H964133,0,2014-11,rodent poison,1,0
grls8LDKQ11,1,2015-07,"cushion/bed foam, rubber",1,0
grls8M4HB3BB,2,2015-09,grapes,1,0
grls8NWAH177,4,2016-11,medication - indoxacarb,1,0
grls8O0B18OO,0,2014-07,rocks,1,0
grls8TUR3477,0,2014-03,acorn,1,0
grls8VHISVYY,0,2014-11,medication - lopid,1,0
grls8VHISVYY,7,2021-01,unknown,1,0
grls8X0OU5KK,1,2015-12,wild mushroom - unspecified,1,0
grls8X0OU5KK,3,2018-02,medication - advil,1,0
grls8XDNJJHH,0,2014-04,unknown,1,0
grls908SFTT,1,2015-10,medication - otc cold medication,1,0
grls908SFTT,3,2017-11,"all weather bait chunx, ultrasonic repellent",1,0
grls90WV0NUU,1,2015-04,"dark chocolate, hand warmer",1,0
grls90WV0NUU,2,2016-04,hand warmer,1,0
grls916F9V88,0,2013-06,medication - rolaids,1,0
grls91H0ECUU,0,2013-02,mothballs,1,0
grls91H0ECUU,5,2018-02,fabric,1,0
grls91ZKCAQQ,1,2013-11,unknown,1,0
grls93YZYLDD,1,2015-05,battery,1,0
grls94MT90BB,1,2015-06,chocolate,1,0
grls94MT90BB,2,2016-06,chocolate,1,0
grls95XW2JVV,3,2015-11,chocolate,1,0
grls97GJL8II,0,2013-06,clothing - sock,1,0
grls97GJL8II,1,2014-07,clothing - sock,1,0
grls988OLG66,0,2014-04,insect poison,1,0
grls988OLG66,1,2015-05,insect poison,1,0
grls9BWN12DD,0,2014-12,wild mushroom - unspecified,1,0
grls9BWN12DD,1,2015-11,bone,1,0
grls9HB14OLL,2,2016-10,aluminum,1,0
grls9HPESP00,6,2021-03,unknown,1,0
grls9INU92LL,2,2016-08,polystyrene,1,0
grls9RUTVFMM,1,2016-01,medication - a+d ointment,1,0
grls9TCORNYY,1,2016-02,chocolate,1,0
grls9UBFUUCC,0,2013-09,fertilizer - organic,1,0
grls9VGH9WKK,1,2015-10,wild mushroom - unspecified,1,1
grls9VGH9WKK,2,2016-10,wild mushroom - unspecified,1,0
grlsA3GE0GG,1,2015-03,rodent poison,1,0
grlsA7XQVQ,0,2015-01,plastic,1,0
grlsAGEYKUYY,3,2015-10,medication - aleve,1,0
grlsB4GNNEMM,1,2015-03,plastic,1,0
grlsB9A55HHH,1,2015-05,medication - zoloft,1,0
grlsB9A55HHH,2,2016-05,medication - prozac,1,0
grlsBATASH11,1,2015-06,"fabric, sponge",1,0
grlsBE43PRMM,2,2016-12,medication - tramadol,1,0
grlsBE58TRUU,6,2020-02,fertilizer,1,0
grlsBF7BE966,1,2016-01,insect poison,1,0
grlsBH3SNYOO,0,2015-01,pistachio,1,0
grlsBH3SNYOO,3,2018-01,"medication - human medication, raisins",1,0
grlsBH3SNYOO,5,2019-12,medication - delmopinol,1,0
grlsBKB4TUXX,1,2013-12,"medication - overdose on trifexis, medication - tramadol",1,0
grlsBKB4TUXX,4,2016-12,chocolate,1,0
grlsBLM92T99,0,2014-04,wild mushroom - unspecified,1,0
grlsBLM92T99,3,2017-04,rodent poison,1,0
grlsBM4T6E33,4,2017-04,chocolate,1,0
grlsBM4T6E33,6,2019-04,chocolate,1,0
grlsBP3I7F55,4,2017-05,chocolate,1,0
grlsBR1ULWSS,2,2015-11,chocolate,1,0
grlsBRU738NN,1,2014-01,fertilizer,1,0
grlsBTH9EXRR,0,2014-12,chocolate,1,0
grlsBXN6UF55,4,2018-06,chocolate,1,0
grlsC0ENMNN,2,2016-12,dryer sheet,1,0
grlsC0ENMNN,3,2017-12,dryer sheet,1,0
grlsC0ENMNN,7,2022-03,bat,1,0
grlsC1HM6OYY,0,2014-04,tea bag,1,0
grlsC1HM6OYY,1,2015-06,tea bag,1,0
grlsC33PECFF,2,2015-04,mole poison,1,0
grlsC5YM2HWW,1,2014-04,rocks,1,0
grlsC5YM2HWW,2,2015-04,rocks,1,0
grlsC9B96YUU,3,2017-03,gum - unknown if xylitol,1,0
grlsCCG2I3EE,2,2016-11,onion,1,0
grlsCD3EHDZZ,6,2020-12,raisins,1,0
grlsCFB5KPYY,7,2020-01,raisins,1,0
grlsCJGY1Z99,2,2016-11,coffee,1,0
grlsCOJT3VV,0,2015-01,streptococcus in agar solution,1,0
grlsCOJT3VV,1,2016-01,streptococcus in agar solution,1,0
grlsCP8RNDBB,0,2013-08,"fruit pit - cherry, medication - cyclosporine",1,0
grlsCP8RNDBB,1,2014-08,wood - rotted,1,0
grlsCQFTVALL,0,2014-09,wine,1,0
grlsCQFTVALL,1,2015-09,wine,1,0
grlsCSQMX133,4,2016-12,clothing - unspecified,1,1
grlsCSQMX133,6,2018-12,clothing - unspecified,1,0
grlsCXY7OWNN,0,2014-09,borax,1,0
grlsCZC5H66,1,2014-09,onion,1,0
grlsD1AOQMM,0,2014-04,aluminum,1,0
grlsD1AOQMM,1,2015-04,medication - diazepam,1,0
grlsD20OVJMM,4,2017-11,fertilizer - organic,1,0
grlsDBAQYDVV,0,2014-02,medication - vyvanse,1,0
grlsDEMKZM88,0,2014-02,rodent poison,1,0
grlsDGZD63NN,1,2014-03,medication - glucosamine,1,0
grlsDIJ7PCCC,1,2015-02,"mineral spirits, wood stain",1,0
grlsDLTFLPZZ,0,2014-02,chocolate,1,0
grlsDLTFLPZZ,2,2016-05,fire extinguisher,1,0
grlsDLTFLPZZ,3,2017-05,fire extinguisher,1,0
grlsDNITGKFF,2,2016-09,live bird,1,0
grlsDNITGKFF,3,2017-08,live bird,1,0
grlsDOVQ9OJJ,0,2013-07,bottle cap,1,0
grlsDP2KHHRR,6,2021-03,unknown,1,0
grlsDUX7BEHH,1,2014-12,juneberry,1,0
grlsE2Q6OBTT,2,2014-11,rodent poison,1,0
grlsE35J4WSS,0,2012-11,dark chocolate,1,0
grlsE3HO8RII,6,2018-12,raisins,1,0
grlsE71JILHH,0,2014-03,unknown,1,0
grlsE71JILHH,3,2017-07,aluminum,1,0
grlsE9MPH2YY,1,2013-08,bacon grease,1,0
grlsE9SB7KFF,2,2015-09,"clothing - sock, clothing - underwear",1,0
grlsEI1W4ZQQ,2,2015-10,aluminum,1,0
grlsELLCG2EE,0,2015-01,baking chocolate,1,0
grlsEO82XEOO,0,2015-01,toilet bowl cleaner,1,0
grlsEO82XEOO,1,2016-01,toilet bowl cleaner,1,0
grlsEQTN7K,0,2014-12,aluminum,1,0
grlsEQTN7K,3,2018-03,lotion,1,0
grlsER7M411,4,2017-06,xylitol,1,0
grlsER7M411,5,2018-08,xylitol,1,0
grlsEU20O6AA,0,2014-12,rodent poison,1,0
grlsEVTHEN99,0,2014-05,unknown,1,0
grlsEVTHEN99,1,2015-03,medication - diabetes medication,1,0
grlsEYJWKWMM,0,2014-10,unknown,1,0
grlsF2UZT400,0,2014-04,wild mushroom - unspecified,1,0
grlsF32GK0RR,2,2015-10,rodent poison,1,0
grlsFCNSH9CC,0,2013-07,cushion/bed foam,1,0
grlsFIKPBYOO,1,2015-07,clothing - shoe lace,1,0
grlsFKMMUW55,2,2016-05,unknown,1,0
grlsFMCUG5FF,4,2018-05,fitbit,1,0
grlsFMNORXX,0,2014-10,clothing - sock,1,0
grlsFQJHE177,2,2017-02,xylitol,1,0
grlsFSBDGO11,2,2016-03,"medication - aspirin, medication - diltiazem (240mg er), medication - lisinopril (5mg), medication - triamterene (75mg), medication - hydrochlorothiazide (50mg)",1,0
grlsFU3W5C33,1,2014-09,medication - ibuprofen,1,0
grlsFURN9XVV,6,2019-07,insect poison,1,0
grlsFVH2VFOO,3,2017-04,mold,1,0
grlsFY8KSI00,1,2014-10,raisins,1,0
grlsG12H8UBB,1,2014-09,medication - rimadyl,1,0
grlsG12H8UBB,2,2015-10,"blue-green algae, medication - rimadyl",1,0
grlsG2JULRR,0,2012-05,unknown,1,0
grlsG8CEWDGG,1,2013-07,dark chocolate,1,0
grlsGHZTRXLL,3,2016-01,chocolate,1,0
grlsGJF1SXX,1,2015-05,fertilizer,1,0
grlsGJUFN7II,0,2013-08,candle,1,0
grlsGNSPADYY,6,2020-12,medication - wellbutrin (x1),1,0
grlsGPIRLHQQ,0,2014-11,medication - lotrel,1,0
grlsGX6DHOO,0,2013-05,daffodils,1,0
grlsGX6DHOO,2,2015-05,carpet,1,0
grlsGX6DHOO,6,2019-04,cushion/bed foam,1,0
grlsGXI98U11,7,2021-12,bread dough,1,0
grlsH2QK8KK,1,2015-11,medication - ativan,1,0
grlsH2QK8KK,5,2019-12,marijuana/thc,1,0
grlsH2QK8KK,6,2021-01,marijuana/thc,1,0
grlsH2QK8KK,7,2021-11,organic fly trap,1,0
grlsH63CO8TT,1,2014-07,unspecified poison,1,0
grlsH819NCC,0,2014-06,medication - tricor (60mg),1,0
grlsHFAQ2VV,1,2015-04,dirt,1,0
grlsHINJVV22,0,2013-09,glass,1,0
grlsHINJVV22,1,2015-01,glass,1,0
grlsHMXPKF55,0,2014-11,cement,1,0
grlsHNWDKEVV,0,2014-02,cell phone charger,1,0
grlsHNWDKEVV,1,2015-05,cell phone charger,1,0
grlsHOGPQIDD,5,2018-11,"soap, female panty linter, food skewer, grapes",1,1
grlsHPTRZVGG,4,2018-01,burrs,1,0
grlsHTH5U533,7,2021-05,grapes,1,0
grlsHY06UYFF,6,2021-01,rodent poison,1,0
grlsHZFJDBB,1,2015-04,bandage,1,0
grlsI177HBBB,1,2015-06,steel,1,0
grlsI3AT2X55,1,2015-10,dark chocolate,1,0
grlsI4RK7W55,0,2013-06,sponge,1,0
grlsI4RK7W55,1,2014-07,sponge,1,0
grlsI8TC3SCC,0,2013-10,medication - asthma inhaler,1,0
grlsI8TC3SCC,1,2014-10,chocolate,1,0
grlsI8TC3SCC,7,2020-11,medication - overdose of heartworm medication,1,0
grlsIB8ZCI66,0,2014-02,raisins,1,0
grlsIB8ZCI66,2,2016-04,purple nightshade,1,0
grlsIFPY0Y33,1,2015-10,silicone,1,0
grlsIFPY0Y33,4,2018-11,bread dough,1,0
grlsIGPYD4ZZ,4,2018-09,avocado,1,0
grlsIGPYD4ZZ,5,2019-08,unknown,1,0
grlsIGPYD4ZZ,7,2021-07,avocado,1,0
grlsIGWA7XOO,1,2015-08,"bromethalin, vole",1,0
grlsIQLVMMUU,6,2018-11,"insect poison, philodendron",1,0
grlsIR3T6HDD,1,2016-01,bone,1,0
grlsIRH5Z6OO,1,2015-02,"medication - fortiflora (x60), rubber",1,0
grlsIY49NKWW,0,2013-02,toe spacer,1,0
grlsJ1UUTL,0,2014-04,toy stuffing,1,0
grlsJ1UUTL,1,2015-04,butter,1,0
grlsJ1UUTL,7,2021-05,grapes,1,0
grlsJ237EKQQ,2,2015-04,fire starter,1,0
grlsJ7RDPHKK,1,2016-01,medication - australian dream arthritis cream,1,0
grlsJ7RDPHKK,5,2020-01,rodent poison,1,0
grlsJ83YMRR,0,2012-12,wild mushroom - unspecified,1,0
grlsJ8YI4W22,0,2014-12,medication - advil,1,0
grlsJCDT4YFF,0,2013-01,chocolate,1,0
grlsJCDT4YFF,4,2017-02,sweet'n low,1,0
grlsJE4JG3OO,0,2014-03,o'keeffe's working hands,1,0
grlsJE4JG3OO,1,2015-04,rodent poison,1,0
grlsJIJ61F44,0,2013-11,fabric,1,0
grlsJIJ61F44,4,2017-12,gravel,1,0
grlsJIJ61F44,5,2018-12,gravel,1,0
grlsJIOY4YLL,4,2017-09,medication - overdose of sileo,1,0
grlsJLU8ABKK,7,2020-03,cooking fat,1,0
grlsJS60YMLL,0,2012-09,"acorn, grass",1,0
grlsJS60YMLL,6,2018-10,digital thermometer,1,0
grlsJX4I57SS,0,2014-05,philodendron,1,0
grlsJYXJ3M99,3,2018-01,"citronella, medication - pain medication",1,0
grlsJZZZLQ33,0,2013-02,wild mushroom - unspecified,1,0
grlsJZZZLQ33,3,2016-04,dark chocolate,1,0
grlsJZZZLQ33,4,2017-04,bulb,1,0
grlsK6PLE6YY,0,2014-01,wood - unspecified,1,0
grlsK6PLE6YY,1,2015-03,drywall,1,0
grlsK6PLE6YY,2,2016-05,drywall,1,0
grlsK7UKBMWW,0,2014-09,medication - pataday eye drops,1,0
grlsK8JL2ZZ,6,2020-11,unknown,1,0
grlsKIUYF2II,0,2013-02,medication - magnesium,1,0
grlsKK91TIOO,0,2014-09,daylilies,1,0
grlsKK91TIOO,1,2015-11,"daylilies, wild mushroom - unspecified",1,0
grlsKLCB9Q55,1,2015-05,medication - otc cold medication,1,0
grlsKLCB9Q55,2,2016-05,dark chocolate (3 oz.),1,0
grlsKLCB9Q55,3,2017-06,xylitol,1,0
grlsKLCB9Q55,5,2019-06,"medication - aleve, medication - codeine, medication - fiorinal, medication - tylenol",1,0
grlsKLOJK533,1,2014-12,medication - albuterol inhaler,1,0
grlsKLOJK533,3,2016-11,clothing - underwear,1,0
grlsKN18HQ44,1,2015-01,ballpoint pen,1,0
grlsKOFQ3044,1,2013-06,"medication - aspirin (325mg x 10), medication - fish oil (1000mg x 10), medication - glucosamine (1500mg x 10), medication - iron (65mg x 5), medication - msm (1500mg x 5), medication - multivitamin (x5), medication - st john's-wort (325mg x 15), medication - vitamin d3 (2000iu x 5)",1,0
grlsKQI3IJII,5,2019-01,fig newton,1,0
grlsKT7FHXSS,6,2019-01,chocolate,1,0
grlsKTQEYMKK,0,2015-01,medication - ibuprofen,1,0
grlsKTQEYMKK,1,2016-01,medication - ibuprofen,1,0
grlsKYFC2IPP,0,2014-04,marijuana/thc,1,0
grlsL6EF95KK,0,2014-06,children's toy,1,0
grlsLJ2VI277,1,2015-08,plastic,1,0
grlsLKJCPSS,0,2013-11,plastic,1,0
grlsLKJCPSS,2,2015-12,unknown,1,0
grlsLKJCPSS,6,2020-01,plastic,1,0
grlsLLJFP811,3,2015-11,fertilizer,1,0
grlsLMEPJC99,7,2021-05,plantain lilies,1,0
grlsLO4BVHRR,6,2019-01,grapes,1,0
grlsLO4BVHRR,7,2020-02,grapes,1,0
grlsLT1SZEDD,2,2016-01,knitted blanket,1,0
grlsLZHJ6B33,1,2014-12,diluted bleach,1,0
grlsM0N38MNN,2,2017-03,"chocolate, raisins",1,0
grlsM21R3M55,1,2016-01,medication - lisinopril,1,0
grlsM2WNE1LL,0,2014-11,dryer sheet,1,0
grlsM4XBMROO,1,2015-06,mercury,1,0
grlsM5FXIJDD,0,2013-04,tree nuts,1,1
grlsM5FXIJDD,1,2014-05,unknown,1,0
grlsM5FXIJDD,3,2016-04,chocolate,1,0
grlsM5PCGBQQ,0,2013-04,"peace lily, wood - redwood",1,0
grlsM80CY500,3,2016-07,raisins,1,0
grlsM866LITT,0,2013-01,"brillo pad, soap",1,0
grlsM866LITT,1,2014-01,brillo pad,1,0
grlsM8MSLAAA,0,2014-11,wild mushroom - unspecified,1,0
grlsM8MSLAAA,1,2015-11,bird suet,1,0
grlsMAGUW399,0,2014-08,unknown,1,0
grlsMDNH1OCC,0,2014-05,"clothing - rawhide shoe lace, polyester",1,0
grlsMDNH1OCC,2,2016-09,unknown,1,0
grlsMDNH1OCC,4,2018-09,fruit pit - cherry,1,0
grlsMH77FLGG,2,2016-01,wood - unspecified,1,0
grlsMH77FLGG,3,2017-01,ice/heat pack,1,0
grlsMJNP84JJ,0,2014-10,"medication - crestor, weeds",1,0
grlsMKEVKDZZ,1,2013-12,plastic,1,0
grlsMM1XVLNN,1,2015-05,unknown,1,0
grlsMM1XVLNN,3,2017-06,medication - coprophagia,1,0
grlsMOSV1VKK,1,2014-04,fiberglass insulation,1,0
grlsMU7MCXRR,0,2014-12,rodent poison,1,0
grlsMX63K0SS,0,2014-03,rodent poison,1,0
grlsMXRC2E11,1,2014-04,insect poison,1,0
grlsN43KG77,2,2015-04,sponge,1,0
grlsN4MLY555,6,2019-07,dark chocolate,1,0
grlsN4PGDWWW,0,2013-11,glass,1,0
grlsN717FOBB,0,2014-05,bandage,1,0
grlsN717FOBB,2,2016-07,medication - advil,1,0
grlsNCBOMVQQ,6,2021-01,onion,1,1
grlsNFRXOK00,1,2014-03,bone,1,0
grlsNGNUZ033,0,2014-11,wild mushroom - unspecified,1,0
grlsNHFVIJ33,5,2018-08,marijuana/thc,1,0
grlsNHFVIJ33,6,2019-07,marijuana/thc,1,0
grlsNJN1N711,2,2016-02,bone,1,0
grlsNP2GOS33,0,2014-04,medication - advil,1,0
grlsNP2GOS33,1,2015-06,unknown,1,0
grlsNPCJ5533,0,2013-02,medication - cycloset (x1),1,0
grlsNPNE07BB,1,2014-10,insect poison,1,0
grlsNQJFUC77,0,2014-03,shoe wax,1,0
grlsNXR9T1OO,0,2013-05,castor bean,1,0
grlsNZ3N1DGG,0,2015-01,mold,1,0
grlsO2Z2E677,2,2016-11,medication - indoxacarb,1,0
grlsO6ZGI6HH,0,2013-03,"carpet, hydrangea",1,0
grlsO6ZGI6HH,1,2014-02,carpet,1,0
grlsO8CDKUU,0,2014-12,wild mushroom - unspecified,1,0
grlsO8CDKUU,1,2015-12,wild mushroom - unspecified,1,0
grlsOBKQCCRR,7,2019-10,marijuana/thc,1,0
grlsOFX17FUU,0,2012-05,grapes,1,0
grlsOH4TYPP,4,2018-09,plastic,1,0
grlsOH931S00,1,2014-10,bone,1,0
grlsOH931S00,3,2016-10,clothing - leather,1,0
grlsOHF03CRR,0,2014-12,wild mushroom - unspecified,1,0
grlsOLCVC600,3,2017-08,bird wing,1,0
grlsOMPOVPZZ,0,2014-06,english ivy,1,0
grlsONZRBVGG,6,2018-11,fruit pit - peach,1,0
grlsOSHXKQSS,0,2015-01,corn cob,1,1
grlsOSHXKQSS,2,2017-01,chocolate,1,0
grlsOT2USXMM,0,2013-05,ballpoint pen,1,0
grlsOYXO2GWW,6,2021-01,raisins,1,0
grlsOZJNWLVV,0,2012-09,raisins,1,0
grlsP1GMHYZZ,0,2015-02,colored pencil,1,0
grlsP64OVHBB,0,2013-08,pyracantha,1,0
grlsP8D4P7FF,2,2016-07,chocolate brownies,1,0
grlsPG81W8AA,4,2018-02,medication - glandex (entire container),1,0
grlsPGOOG3SS,0,2014-06,tennis ball,1,0
